Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
4/5/07,Olympic National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related
4/6/07,Glen Canyon National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving 
4/8/07,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
4/10/07,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Fishing
4/14/07,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
4/15/07,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
4/19/07,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing
4/23/07,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing
4/23/07,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
4/23/07,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
4/30/07,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
4/30/07,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing
5/3/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
5/3/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
5/14/07,Big Thicket National Preserve,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
5/15/07,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
5/16/07,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
5/16/07,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
5/16/07,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Not Reported
5/17/07,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
5/17/07,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing
5/17/07,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Female,55-64,Not Reported
5/19/07,Yosemite National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Not Reported
5/21/07,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
5/27/07,Gulf Islands National Seashore,Vessel Incident ,Other Transportation,Unintentional,Fatal injury,Female,35-44,Vessel Related
5/28/07,Olympic National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
5/29/07,Haleakala National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Male,0-14,Bicycling
6/1/07,Acadia National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,55-64,Not Reported
6/2/07,Curecanti National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported
6/3/07,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
6/3/07,Chickasaw National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
6/4/07,Great Smoky Mountains National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/4/07,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Canyoneering
6/8/07,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported
6/9/07,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,45-54,Not Reported
6/9/07,Cape Cod National Seashore,Undetermined,Undetermined,Undetermined,Fatal injury,Male,55-64,Playing Sports
6/10/07,Lake Meredith National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/10/07,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing
6/14/07,Lake Mead National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Vessel Related
6/16/07,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
6/16/07,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing
6/16/07,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Hiking
6/16/07,Grand Teton National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
6/16/07,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,Not Reported,Not Reported
6/17/07,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
6/18/07,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Climbing
6/22/07,Whiskeytown National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Vessel Related
6/22/07,Apostle Islands National Lakeshore,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
7/1/07,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
7/4/07,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming
7/5/07,Delaware Water Gap National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Not Reported
7/5/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving 
7/6/07,Buffalo National River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
7/7/07,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/7/07,Glen Canyon National Recreation Area,Poisoning - Carbon monoxide,Poisoning,Unintentional,Fatal injury,Female,0-14,Swimming
7/10/07,Channel Islands National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Not Reported
7/11/07,Yosemite National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported
7/13/07,National Capital Parks-East,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
7/19/07,Colonial National Historical Park,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Swimming
7/26/07,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/28/07,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Female,55-64,Not Reported
8/2/07,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
8/4/07,Badlands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving 
8/5/07,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
8/6/07,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
8/7/07,Wind Cave National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
8/11/07,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
8/12/07,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
8/14/07,Yosemite National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Female,65+,Not Reported
8/16/07,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
8/16/07,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64,Driving 
8/16/07,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,65+,Driving 
8/17/07,Lake Roosevelt National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
8/19/07,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
8/19/07,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Female,Not Reported,Not Reported
8/19/07,Glen Canyon National Recreation Area,Firearm,Other,Unintentional,Fatal injury,Male,Not Reported,Hunting
8/21/07,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Not Reported
8/23/07,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
8/24/07,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,15-24,Vessel Related
8/25/07,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
8/25/07,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported,Vessel Related
9/1/07,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
9/4/07,Lake Roosevelt National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
9/7/07,Yellowstone National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
9/7/07,Yellowstone National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
9/8/07,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Bicycling
9/12/07,Glen Echo Park,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Swimming
9/19/07,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
9/19/07,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving 
9/23/07,Biscayne National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Diving - Scuba
9/26/07,Haleakala National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Female,65+,Bicycling
9/28/07,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,55-64,Vessel Related
