"","Parkname","gnis_id","Count","TotalValue","lon","lat","Gnis Id"
"320","White Sands","914261",10,4741453,-106.325360144525,32.7783412347884,"914261"
"321","Whitman Mission","1531185",10,538073,-118.465501451514,46.0426568792306,"1531185"
"322","William Howard Taft","1888973",10,214674,-84.5075940935442,39.1197110407433,"1888973"
"323","Wilson's Creek","735922",10,1607117,-93.4096823168905,37.099828123008,"735922"
"324","Wind Cave","1263056",10,5701816,-103.439166646207,43.5801494435318,"1263056"
"325","Wolf Trap Farm Park","1888974",10,4503848,-77.2635564698955,38.9379397820468,"1888974"
"326","Women's Rights","1888975",10,291256,-76.8445160800246,42.9026286361832,"1888975"
"327","World War II Memorial","1989142",10,42319806,-77.0403781914532,38.8892469596001,"1989142"
"328","World War II Valor in the Pacific","2733431",10,15860941,NA,NA,NA
"329","Wrangell-St. Elias","1416055",40,2865664,-142.132011453272,60.6943180714451,"1416055"
"330","Wrangell-St. Elias","1416055",40,2865664,-142.576068303524,62.2375562735554,"1416055"
"331","Wright Brothers","1027483",10,4661087,-75.6702220692963,36.0162188522199,"1027483"
"332","Wupatki","38197",10,2173497,-111.403647220008,35.5611840969483,"38197"
"333","Yellowstone","1609331",10,35051751,-110.547181557799,44.5982507306391,"1609331"
"334","Yosemite","255923",10,39131537,-119.557200054614,37.8488380425135,"255923"
"335","Yukon-Charley Rivers","1416058",10,40785,-142.796028236338,65.093563414076,"1416058"
"336","Zion","1455157",10,30488977,-113.026525324617,37.298398099831,"1455157"
